Method,Timestamp,Which of the following time periods best describes when your house was built?,What do you know about the architecture of the house?,Select the best option which describes your house,How many stories does your house have?,State the area of your house in square feet?,Relationship to the head of the household,Gender,Current attendance at school or other educational institution,Main occupation,"How much is your household's average monthly expenditure in LKR for ""food"" items ?","How much is your household's average monthly expenditure in LKR for ""non-food"" items ?",What is the best representation of the major material your outside walls are made of?,Which of the following options do your house use for ventilation and lighting other than windows and doors (only indoors)?,What is the major type of roof installation used in your house (on the highest floor)?,Nearly how many red notices did you receive last year?,Which of the below is true regarding your normal bill payment practice (example given when the bill is Rs 4566)?,Was your wiring done by a professional electrician?,Which of the following do you use in your household for generating electricity?,"If using solar energy, which of the following purposes do you use solar energy inside your house?",Which of the following can most accurately describe your know-how in electricity bill calculation?,Which of the following best describes your behavior of ironing clothes?,Which of the following best describes your behavior regarding night lighting considering the whole house?,Do you check your electricity meter for over-consumption?,Do you look at the energy rating of an appliance when buying one?,Which district you are residing?,Which Secretarial division your house belonged?
Google Sheet,2023-06-14,Before 1980,I am not aware of it,Single House - Single Floor,1,2500,Son / Daughter,Male,University,Professional,100000,150000,Stones / Cube Stones,Other,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,Solar Energy,Water heating;Outdoor lighting;Cooking;Other,LECO/ CEB described to me how the bill is calculated.,We iron the clothes weekly.,We don’t keep any of the lights on when sleeping.,"Yes, every month",Yes,Galle,Hikkaduwa
Google Sheet,2023-06-14,Before 1980,I am not aware of it,Single House - Single Floor,1,2500,Son / Daughter,Female,Does not Attend,Professional,60000,80000,Cabook,Window Walls (the wall is covered more than 80% by windows),Tile,0,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,I am not aware of how the bill is calculated.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Rarely, once a year",No,Gampaha,Mahara
Face,2023-06-14,2000-2009,House was designed barely to pass the statutory requirements of the local authorities.,Single House -Double Floor,4,Dont know ,Parents of the Head of the Household / Spouse,Female,University,No occupation,30000,30000,Cement Block,Window Walls (the wall is covered more than 80% by windows),Tile,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),I am not aware of it,None of the above,,One of my family members taught me how the bill is calculated.,We iron the clothes weekly.,We don’t keep any of the lights on when sleeping.,"Yes, some of the months",Yes,Colombo ,Kaduwela 
Google Sheet,2023-06-14,Before 1980,I am not aware of it,Twin Houses,None,3000,Head of the Household,Male,Other Educational Institution,Professional,20000,30000,Brick,Other,Asbestos,2,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,None of the above,,I got to know through the media.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,"Rarely, once a year",Yes,Colombo,Rathmalana
Telephone,2023-06-14,1980-1989,No such professional designing was done; the house was designed to suit our needs and wants.,Single House - Single Floor,1,3500,Son / Daughter,Male,University,Professional,100000,100000,Brick,None,Tile,5,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,None of the above,,I learnt the calculation by reading the monthly bill.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Gampaha,Negombo
Telephone,2023-06-14,After 2019,The house was designed by a certified architect.,Single House - Single Floor,1,4574,Wife / Husband,Female,University,Professional,"150,000","200,000",Brick,Transparent walls (clear glass/ semi-transparent glass);Window Walls (the wall is covered more than 80% by windows),Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,Solar Energy,Other,I am not aware of how the bill is calculated.,We iron when and where the need arises.,We keep more than two lights on when sleeping,Never,No,Gampaha,Biyagama
Google Sheet,2023-06-14,1990-1999,No such professional designing was done; the house was designed to suit our needs and wants.,Single House -Double Floor,2,1200,Son / Daughter,Female,Does not Attend,Professional,50000,60000,Brick,Other,Asbestos,2,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,I got to know through another mean.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,"Rarely, once a year",Yes,Colombo,Padukka
Telephone,2023-06-14,1990-1999,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House - Single Floor,1,Not aware,Son / Daughter,Female,Does not Attend,Professional,60000,50000,Brick,Window Walls (the wall is covered more than 80% by windows),Tile,None,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,None of the above,,One of my family members taught me how the bill is calculated.,We iron the clothes weekly.,We don’t keep any of the lights on when sleeping.,"Yes, some of the months",Yes,Matara,Thihagoda
Face,2023-06-14,2010-2019,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House -Double Floor,2,2500,Other,Male,University,Professional,900000,100000,Cement Block,Window Walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,I got to know through another mean.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,Never,Yes,Matara,Matara
Face,2023-06-14,2000-2009,I am not aware of it,Single House - Single Floor,Single ,1500,Head of the Household,Male,Does not Attend,Professional,40000,30000,Cement Block,Other,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,None of the above,,I learnt the calculation by reading the monthly bill.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Rarely, once a year",No,Ratnapura ,Eheliyagoda
Google Sheet,2023-06-14,2010-2019,The house was designed by a certified architect.,Single House - Single Floor,0,1154,Wife / Husband,Male,School,Professional,25000,25000,Cement Block,Other,Asbestos,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Gampaha ,Dompe
Google Sheet,2023-06-14,1980-1989,No such professional designing was done; the house was designed to suit our needs and wants.,Single House - Above Double Floor,1,2400,Son / Daughter,Male,Does not Attend,Professional,50000,25000,Brick,Window Walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,"Yes, every month",Yes,Galle,Ambalangoda
